No.,Country,Customer Name,Delivery Year ,Engine,Model Series,Order Month,Order Year,Region,Delivery Total,Order Total,Unfilled Orders
1,Afghanistan,Ariana Afghan Airlines,1968,PW,727,Mar,1968,Central Asia,1,1,
2,Afghanistan,Ariana Afghan Airlines,1970,PW,727,Apr,1969,Central Asia,1,1,
3,Afghanistan,Ariana Afghan Airlines,1979,GE,DC-10,Sep,1978,Central Asia,1,1,
4,Afghanistan,Ariana Afghan Airlines,,CF,737-700,Nov,2005,Central Asia,0,4,
5,Algeria,Air Algerie,1974,PW,727,Jan,1974,Africa,1,1,
6,Algeria,Air Algerie,1974,PW,737-200,Jan,1974,Africa,1,1,
7,Algeria,Air Algerie,1975,PW,727,Jan,1974,Africa,1,1,
8,Algeria,Air Algerie,1975,PW,737-200,Jan,1974,Africa,2,,
9,,Air Algerie,2015,CF,737-800,Jan,2014,Africa,2,2,
10,Algeria,Air Algerie,2016,CF,737-800,Jan,2014,,6,6,
11,Algeria,Air Algerie,1971,PW,727,Feb,1970,Africa,2,2,
12,Algeria,Air Algerie,1976,PW,727,Mar,1976,Africa,1,1,
13,Algeria,Air Algerie,1976,PW,737-200,,1976,Africa,1,1,
14,Algeria,Air Algerie,1977,PW,737-200,Mar,1976,Africa,,2,
15,Algeria,Air Algerie,1976,PW,727,May,1975,Africa,1,1,
16,,Air Algerie,1976,PW,737-200,May,1975,Africa,2,2,
17,Algeria,Air Algerie,1990,GE,767-300,May,1989,Africa,3,3,
18,Algeria,Air Algerie,2016,CF,,May,2014,Africa,2,2,
19,Algeria,Air Algerie,1971,PW,737-200,Jun,1970,Africa,1,1,
20,Algeria,Air Algerie,1972,PW,737-200,Jul,1972,Africa,1,1,
21,Algeria,Air Algerie,2000,CF,737-800,Jul,1998,Africa,4,4,
22,Algeria,Air Algerie,2001,CF,737-800,Jul,1998,Africa,3,3,
23,Algeria,Air Algerie,2002,CF,737-600,Jul,1998,Africa,3,3,
24,Algeria,Air Algerie,1973,PW,737-200,Sep,1972,Africa,2,2,
25,Algeria,Air Algerie,1983,PW,737-200,Sep,1983,Africa,3,3,
26,Algeria,Air Algerie,1975,PW,737-200,Oct,1974,Africa,1,1,
27,Algeria,Air Algerie,1980,PW,727,Oct,1979,Africa,2,2,
28,Algeria,Air Algerie,1981,PW,727,Oct,1979,Africa,2,2,
29,Algeria,Air Algerie,1982,PW,727,Nov,1981,Africa,1,1,
30,Algeria,Air Algerie,1982,PW,737-200,Nov,1981,Africa,1,1,
31,Algeria,Air Algerie,2005,CF,737-800,Nov,2003,Africa,3,3,
32,Algeria,Air Algerie,2010,CF,737-800,Nov,2009,Africa,3,3,
33,Algeria,Air Algerie,2011,CF,737-800,Nov,2009,Africa,4,4,
34,Algeria,Air Algerie,2002,CF,737-600,Dec,1999,Africa,2,2,
35,Algeria,Tassili Airlines,2018,CF,737-800,May,2017,Africa,3,3,
36,Algeria,Tassili Airlines,2011,CF,737-800,Oct,2009,Africa,4,4,
37,Angola,SonAir,2008,CF,737-700,Jun,2006,Africa,1,1,
38,Angola,SonAir,2007,CF,737-700,Dec,2005,Africa,1,1,
39,Angola,SonAir,2008,CF,737-700C,Dec,2005,Africa,1,1,
40,Angola,TAAG Angola Airlines,1985,PW,737-200,Jan,1985,Africa,1,1,
41,Angola,TAAG Angola Airlines,2014,GE,777-300ER,Mar,2012,Africa,1,1,
42,Angola,TAAG Angola Airlines,2016,GE,777-300ER,Mar,2012,Africa,2,2,
43,Angola,TAAG Angola Airlines,1975,PW,737-200,Apr,1975,Africa,1,1,
44,Angola,TAAG Angola Airlines,1976,PW,737-200,Apr,1975,Africa,1,1,
45,Angola,TAAG Angola Airlines,1979,PW,737-200,Apr,1979,Africa,1,1,
46,Angola,TAAG Angola Airlines,1981,PW,737-200,Apr,1981,Africa,1,1,
47,Angola,TAAG Angola Airlines,1982,PW,737-200,Apr,1981,Africa,2,2,
48,Angola,TAAG Angola Airlines,1985,PW,737-200,May,1984,Africa,1,1,
49,Angola,TAAG Angola Airlines,2006,CF,737-700,Jul,2005,Africa,3,3,
50,Angola,TAAG Angola Airlines,2006,GE,777-200ER,Jul,2005,Africa,2,2,
51,Angola,TAAG Angola Airlines,2007,CF,737-700,Jul,2005,Africa,1,1,
52,Angola,TAAG Angola Airlines,2007,GE,777-200ER,Oct,2006,Africa,1,1,
53,Angola,TAAG Angola Airlines,2011,GE,777-300ER,Oct,2009,Africa,2,2,
54,Argentina,Aerolineas Argentinas,1978,PW,727,Jan,1978,South America,2,2,
55,Argentina,Aerolineas Argentinas,1979,PW,727,Jan,1978,South America,1,1,
56,Argentina,Aerolineas Argentinas,1981,PW,727,Feb,1980,South America,2,2,
57,Argentina,Aerolineas Argentinas,1981,PW,747-200,Feb,1980,South America,1,1,
58,Argentina,Aerolineas Argentinas,1982,PW,727,Feb,1980,South America,2,2,
59,Argentina,Aerolineas Argentinas,1982,PW,747-200,Feb,1980,South America,1,1,
60,Argentina,Aerolineas Argentinas,1976,PW,747-200,Mar,1975,South America,1,1,
61,Argentina,Aerolineas Argentinas,1992,PW,MD-80,Mar,1989,South America,1,1,
62,Argentina,Aerolineas Argentinas,1993,PW,MD-80,Mar,1989,South America,3,3,
63,Argentina,Aerolineas Argentinas,1974,PW,737-200,Apr,1974,South America,3,3,
64,Argentina,Aerolineas Argentinas,1992,PW,MD-80,Apr,1992,South America,3,3,
65,Argentina,Aerolineas Argentinas,1968,PW,707/720,May,1968,South America,2,2,
66,Argentina,Aerolineas Argentinas,1973,PW,737-200,May,1973,South America,1,1,
67,Argentina,Aerolineas Argentinas,2009,CF,737-700,May,2009,South America,1,1,
68,Argentina,Aerolineas Argentinas,1979,PW,747-200,Jun,1978,South America,3,3,
69,Argentina,Aerolineas Argentinas,1980,PW,747-200,Jun,1979,South America,1,1,
